ID,Country,AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP
Ranchot88,France,0.076,0.022,0.039,0.56,0.022,0.068,0.212,0,10085
I1733,Ukraine,0.077,0.332,0.018,0.354,0,0.015,0.188,0.016,10200
I5239,Serbia,0.064,0.107,0.004,0.502,0.017,0.018,0.284,0.004,10333
I5242,Serbia,0.073,0.088,0,0.474,0.025,0.017,0.315,0.008,10530
I1819,Ukraine,0.058,0.309,0.022,0.378,0.019,0.015,0.181,0.017,10643
I5244,Serbia,0.07,0.066,0.007,0.49,0.02,0.012,0.321,0.014,10785
I1293,Iran,0,0,1,0,0,0,0,0,10800
I5240,Serbia,0.054,0.054,0.009,0.486,0.023,0.018,0.349,0.008,10805
I5235,Serbia,0.078,0.098,0,0.493,0.001,0.016,0.305,0.009,10835
I5241,Serbia,0.079,0.057,0,0.498,0.017,0.019,0.315,0.016,11196
I0861,Israel,0.986,0,0,0,0,0.014,0,0,12750
I1069,Israel,0.81,0,0.19,0,0,0,0,0,12750
I1072,Israel,0.939,0.018,0,0.013,0.007,0.012,0.002,0.009,12750
I1685,Israel,0.58,0,0.42,0,0,0,0,0,12750
I1690,Israel,0.115,0,0.885,0,0,0,0,0,12750
Rochedane,France,0.071,0,0.018,0.533,0.033,0.072,0.256,0.016,12960
SATP,Georgia,0,0.205,0.745,0,0,0.01,0.04,0,13256
I1687,Israel,0.983,0,0,0.017,0,0,0,0,13265
Bichon,Switzerland,0.008,0,0.002,0.774,0.005,0.023,0.183,0.005,13665
I11459,Iran,0.09,0.24,0.22,0.03,0,0.06,0.14,0.21,4150
I11462,Iran,0.1,0.22,0.28,0,0,0.04,0.27,0.1,4270
I1946,Iran,0.09,0.21,0.36,0.03,0.02,0.04,0.15,0.09,8850
I1947,Iran,0.1,0.19,0.33,0.02,0.03,0.06,0.2,0.08,8860
I1952,Iran,0.11,0.19,0.35,0.04,0.05,0.05,0.13,0.07,8850
I1954,Iran,0.08,0.21,0.36,0.01,0.01,0.05,0.2,0.07,9000
I2323,Iran,0.33,0.1,0.16,0.01,0.02,0.03,0.32,0.03,7090
I2327,Iran,0.22,0.17,0.16,0.01,0.02,0.03,0.35,0.05,2910
I2337,Iran,0.16,0.16,0.28,0.02,0.02,0.04,0.26,0.06,4780
I2512,Iran,0.15,0.19,0.33,0,0.01,0.02,0.24,0.05,4265
